SKU|EAN|DESCRIPCION|NOMBRE IMAGEN PRODUCTO|PARTE|PESO INFORMADO|CATEGORIA|NOMBRE IMAGEN PARTE|CATEGORIA EYE|CARACTERISTICAS EYE|DEFINIR OTRO|PRODUCTO POR ENVASE|TIPO DE PARTE|CARACTERISTICAS RECICLABLES|CARACTERISTICAS RETORNABLE|PELIGROSIDAD|CATEGORIA RAEE|CATEGORIA ACEITE|CATEGORIA BATERIA|CATEGORIA NEUMATICO|CANTIDAD NEUMATICOS|CATEGORIA PILA|CANTIDAD DE PILAS
-------|------|2|------(0).jpg , ------(1).jpg|asd|asd|Aceites y lubricantes|asdasd_parte_asd.jpg||||||Sin material reciclado|No Retornable|Residuo NO Peligroso||Aceites Lubricantes No Recuperables|||||
-------|------|2|------(0).jpg , ------(1).jpg|asd|asd|Neumáticos|asdasd_parte_asd.jpg||||||Sin material reciclado|No Retornable|Residuo NO Peligroso||||MACIZOS|asd||
-------|------|2|------(0).jpg , ------(1).jpg|asd|asd|EYE Domiciliario|asd||Transparente||||Sin material reciclado|No Retornable|Residuo NO Peligroso|||||||
-------|------|"2"|------(0).jpg , ------(1).jpg|asd]]]]]|asd|EYE Domiciliario|asd]]]]]|||||PRIMARIO|Sin material reciclado|No Retornable|Residuo NO Peligroso|||||||
-------|------|2|------(0).jpg , ------(1).jpg|////////////////////////|asd|EYE Domiciliario|////////////////////////|||||PRIMARIO|Sin material reciclado|No Retornable|Residuo NO Peligroso|||||||
-------|------|2|------(0).jpg , ------(1).jpg|asd|asd|EYE Domiciliario|asd|||||PRIMARIO|Sin material reciclado|No Retornable|Residuo NO Peligroso|||||||
-------|------|111|---------(0).jpg|asd|asd|Aceites y lubricantes|asdasd_parte_asd.jpg||||||Sin material reciclado|No Retornable|Residuo NO Peligroso||Aceites Lubricantes No Recuperables|||||
-------|------|111|---------(0).jpg|asd|asd|Neumáticos|asdasd_parte_asd.jpg||||||Sin material reciclado|No Retornable|Residuo NO Peligroso||||MACIZOS|asd||
-------|------|111|---------(0).jpg|asd|asd|EYE Domiciliario|asd|||||PRIMARIO|Sin material reciclado|No Retornable|Residuo NO Peligroso|||||||
-------|------|111 aosj pdaosj pdoas|---------(0).jpg|asd|asd|EYE Domiciliario|asd|||||PRIMARIO|Sin material reciclado|No Retornable|Residuo NO Peligroso|||||||
-------|------|111|---------(0).jpg|asd|asd|EYE Domiciliario|asd|||||PRIMARIO|Sin material reciclado|No Retornable|Residuo NO Peligroso|||||||
-------|------|111|---------(0).jpg|a9999999999|asd00000000000|RAEE|a9999999999|||||||||Aparatos pequeños inferior a los 50cm||||||
asd|asd|asd|asd(0).jpg|asdas|asd|EYE No domiciliario|asd_parte_asdas.jpg|PVC (3)|Transparente|asd|asd||Residuo NO Peligroso|Sin material reciclado|No Retornable|||||||
